,Title,Agency,Department,Department_code,Techniques,Summary,Processed_Summary,Cluster,topics
419,AI techniques for identification of suitable delivery parking spaces in an urban scenario,Pacific Northwest National Laboratory,Department of Energy,DOE,AI,"We are using AI (Graph Neural Network) to determine importance of 
parking spaces in a city network for curb management to promote 
adoption of electric vehicles for freight delivery",using ai graph neural network determine importance parking spaces city network curb management promote adoption electric vehicles freight delivery,5,Service / benefits access
420,AI used for predictive modeling and real time control of traffic systems,Pacific Northwest National Laboratory,Department of Energy,DOE,DEEP LEARNING,"Domain aware deep learning models are used for predictive modeling of 
traffic. Deep learning based predictive controllers are trained from 
simulated data to optimize the traffic signaling and coordination for 
improved traffic flow and reduced energy consumption and GHG 
emissions",domain aware deep learning models used predictive modeling traffic deep learning based predictive controllers trained simulated data optimize traffic signaling coordination improved traffic flow reduced energy consumption ghg emissions,10,Asset management
421,APT Analytics,Pacific Northwest National Laboratory,Department of Energy,DOE,"AI, ML",Development of AI/ML for automated analysis of APT data.,development automated analysis apt data,19,Service / benefits access
422,Elucidating Genetic and Environmental Risk Factors for Antipsychotic-induced Metabolic Adverse Effects Using AI,Pacific Northwest National Laboratory,Department of Energy,DOE,AI,"Develop AI methids to  find phenotypes that capture complex interation 
between human genome, chronic diseases and a drug's chemical 
signature to predict adverse side-effects of a mental health drug on 
human population",develop ai methids find phenotypes capture complex interation human genome chronic diseases drug chemical signature predict adverse mental health drug human population,9,"Service delivery: use of AI to provide direct services either to the public or to state/local/tribal/territorial governments 

Note: This topic is not exact but it's the closest match as the text seems to be about using AI for predicting adverse side-effects of a mental health drug on human population, which can be considered providing direct services to the public."
423,Laboratory Automation,Pacific Northwest National Laboratory,Department of Energy,DOE,MACHINE LEARNING,"Employing machine learning to identify regions of interest in SEM and 
TEM data. Automating data acquisition to improve efficiencies.",employing machine learning identify regions interest sem tem data automating data acquisition improve efficiencies,7,"""Asset management"""
424,Managing curb allocation in cities,Pacific Northwest National Laboratory,Department of Energy,DOE,,"This project's goal is to develop a city-scale dynamic curb use 
simulation tool and an open-source curb management platform that 
address the challenge of increased demand for curb-side parking.",project goal develop dynamic curb use simulation tool curb management platform address challenge increased demand parking,5,Service delivery
425,Physics-Informed Learning Machines for Multiscale and Multiphysics Problems (PhILMs),Pacific Northwest National Laboratory,Department of Energy,DOE,DEEP LEARNING,"PhILMs investigators are developing physics-informed learning 
machines by encoding physics knowledge into deep learning networks",philms investigators developing learning machines encoding physics knowledge deep learning networks,16,"Topic_name: ""Asset management"""
426,Regional waste feedstock conversion to biofuels,Pacific Northwest National Laboratory,Department of Energy,DOE,ML,"Unsupervised ML is used sequentially to group waste sources into 
different regions.  Calibrated game theoretic models are used to assess 
the behavior and economic viability of different waste-to-energy 
pathways within a region.",unsupervised ml used sequentially group waste sources different regions calibrated game theoretic models used assess behavior economic viability different pathways within region,19,Asset management
427,"Scalable, Efficient and Accelerated Causal Reasoning Operators, Graphs and Spikes for Earth and Embedded Systems (SEA-CROGS)",Pacific Northwest National Laboratory,Department of Energy,DOE,REGRESSION,"Establish a center for scalable and efficient physics-informed machine 
learning for science and engineering that will accelerate modeling, 
inference, causal reasoning, etiology and pathway discovery for earth 
systems and embedded systems. Advances will lead to a higher level of 
abstraction of operator regression to be implemented in next generation 
neuromorphic computers.",establish center scalable efficient machine learning science engineering accelerate modeling inference causal reasoning etiology pathway discovery earth systems embedded systems advances lead higher level abstraction operator regression implemented next generation neuromorphic computers,16,Service / benefits access
428,Surrogate models for probabilistic Bayesian inference,Pacific Northwest National Laboratory,Department of Energy,DOE,"AI, ML","We are using AI/ML to build surrogate models of the observable 
response of complex physical systems. These surrogate models will be 
used for probabilistic model inversion of these systems with the goal of 
estimating unknown model parameters from indirect observations.",using build surrogate models observable response complex physical systems surrogate models used probabilistic model inversion systems goal estimating unknown model parameters indirect observations,10,Asset management
429,Universal MCEG,Thomas Jefferson Laboratory,Department of Energy,DOE,ML,"R&D on ML based MC event generator that serves as data 
compatification utility.",r ml based mc event generator serves data compatification utility,18,Service delivery
430,FIMS - Invoice BOT - Employee Reimbursements FIMS - Invoice BOT - Purchase Power,Western Area Power Administration,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, DOCUMENT UNDERSTANDING","PROCESS - Invoices are sent to the RPA Invoice Intake email box 
(RPAInvoiceIntake@WAPA.GOV). Once a day, unattended bot will 
extract information from PDF invoices. The invoice is classified to 
determine whether the invoice is an Employee Reimbursement or a 
Purchase Power Invoice.  The information extracted from the invoice is 
then review/validated by the Accounts Payable Technician. After 
validation, the bot will load the information into the WAPA Financial 
Management System.",process invoices sent rpa invoice intake email box rpainvoiceintake day unattended bot extract information pdf invoices invoice classified determine whether invoice employee reimbursement purchase power invoice information extracted invoice accounts payable technician validation bot load information wapa financial management system,6,Service delivery
536,Aidan Chat-bot,Federal Student Aid,Department of Education,ED,"NATURAL LANGUAGE PROCESSING, VIRTUAL ASSISTANT","FSA's virtual assistant uses natural language processing to answer common financial aid questions and help customers get information about their federal aid on StudentAid.gov.
In just over two years, Aidan has interacted with over 2.6 million unique customers, resulting in more than 11 million user messages.",fsa virtual assistant uses natural language processing answer common financial aid questions help customers get information federal aid two years aidan interacted million unique customers resulting million user messages,6,Service delivery
552,Information Gateway OneReach Application,ACF,Department of Health and Human Services,HHS,"NATURAL LANGUAGE PROCESSING, AI","The Information Gateway hotline connects to a phone IVR managed by OneReach AI. OneReach maintains a database of state hotlines for reporting child abuse and neglect that it can connect a caller to based on their inbound phone area code. Additionally, OneReach offers a limited FAQ texting service that utilizes natural language processing to answer user queries. User queries are used for reinforcement training by a human AI trainer and to develop additional FAQs.",information gateway hotline connects phone ivr managed onereach ai onereach maintains database state hotlines reporting child abuse neglect connect caller based inbound phone area code additionally onereach offers limited faq texting service utilizes natural language processing answer user queries user queries used reinforcement training human ai trainer develop additional faqs,9,4. Hotlines and service desks
553,AHRQ Search,AHRQ,Department of Health and Human Services,HHS,,"Organization wide search that includes Relevancy Tailoring, Auto-generation Synonyms, Automated Suggestions,  Suggested Related Content ,Auto Tagging, and Did you mean to allow visitors to find specific content",organization wide search includes relevancy tailoring synonyms automated suggestions suggested related content auto tagging mean allow visitors find specific content,6,Service delivery
554,Chatbot,AHRQ,Department of Health and Human Services,HHS,,Provide interface to allow user to conversationally ask questions about AHRQ content to replace public inquiry telephone line,provide interface allow user conversationally ask questions ahrq content replace public inquiry telephone line,3,"""Policy-making and public engagement: use of AI in any stage of developing regulations or gathering input"""
555,R+2:18eDIRECT: Clarivate,ASPR,Department of Health and Human Services,HHS,AI,AI to identify drug repurposing candidates,ai identify drug repurposing candidates,9,Service delivery
556,ReDIRECT: AriScience,ASPR,Department of Health and Human Services,HHS,AI,AI to identify drug repurposing candidates,ai identify drug repurposing candidates,9,Service delivery
557,Burn & Blast MCMs: Rivanna,ASPR,Department of Health and Human Services,HHS,AI,AI Based algorithms on Accuro XV to detect and highlight fractures and soft tissue injuries,ai based algorithms accuro xv detect highlight fractures soft tissue injuries,13,Service delivery
558,Burn & Blast MCMs: Philips,ASPR,Department of Health and Human Services,HHS,AI,AI-based algorithms on Lumify handheld ultrasound system to detect lung injury and infectious diseases,algorithms lumify handheld ultrasound system detect lung injury infectious diseases,13,Service delivery
559,Burn & Blast MCMs: Philips,ASPR,Department of Health and Human Services,HHS,AI,AI-based algorithms on Lumify handheld ultrasound system to detect traumatic injuries,algorithms lumify handheld ultrasound system detect traumatic injuries,13,Service delivery
560,Burn & Bast MCMs: SpectralMD,ASPR,Department of Health and Human Services,HHS,,Determination of burn depth severity and burn size of injuries ,determination burn depth severity burn size injuries,3,Service Delivery
561,Digital MCM: Virufy,ASPR,Department of Health and Human Services,HHS,AI,Using forced cough vocalization (FCV) in a smartphone to detect the presence of COVID-19 using AI.,using forced cough vocalization fcv smartphone detect presence using ai,10,Service delivery
562,Current Health,ASPR,Department of Health and Human Services,HHS,AI,Continuous monitoring platform and AI algorithm for COVID severity,continuous monitoring platform ai algorithm covid severity,15,Service Delivery
563,Digital MCM: Raisonance,ASPR,Department of Health and Human Services,HHS,AI,Using forced cough vocalization (FCV) in a smartphone to detect the presence of COVID-19 and Influenza using AI.,using forced cough vocalization fcv smartphone detect presence influenza using ai,10,Service delivery
564,Digital MCM: Visual Dx,ASPR,Department of Health and Human Services,HHS,AI,Using smartphone image with AI to detect the presence of mPox,using smartphone image ai detect presence mpox,10,Topic: Accessibility
565,Host-Based Diagnostics: Patchd,ASPR,Department of Health and Human Services,HHS,AI,Wearable device and AI model to predict sepsis at home.,wearable device ai model predict sepsis home,1,Service delivery
566,Data Modernization,ASPR,Department of Health and Human Services,HHS,"MACHINE LEARNING, ML",Develop open data management architecture that enables optimized business intelligence (BI) and machine learning (ML) on all ASPR data.,develop open data management architecture enables optimized business intelligence bi machine learning ml aspr data,7,Service / benefits access
567,Cyber Threat Detection/ Predictive analytics,ASPR,Department of Health and Human Services,HHS,"AI, ML",Use AI and ML tools for processing of extremely large threat data,use ai ml tools processing extremely large threat data,18,Topic: Program integrity
568,emPOWER,ASPR,Department of Health and Human Services,HHS,AI,Using the AI capabilities to rapidly develop the empower COVID-19 At Risk Population data tools and program,using ai capabilities rapidly develop empower risk population data tools program,18,Service / benefits access
569,Community Access to Testing,ASPR,Department of Health and Human Services,HHS,ML,Utilizing several ML models to forecast a surge in the pandemic,utilizing several ml models forecast surge pandemic,18,"""Service delivery"""
570,Modeling & Simulation,ASPR,Department of Health and Human Services,HHS,,Create modeling tools and perform analyses in advance of biothreat events and be able to refine them during emergent events,create modeling tools perform analyses advance biothreat events able refine emergent events,12,Topic: Service Delivery
571,Ventilator Medication Model,ASPR,Department of Health and Human Services,HHS,,Leveraging generalized additive model to project ventilated rate of COVID inpatients,leveraging generalized additive model project ventilated rate covid inpatients,3,Service / benefits access
572,Product redistribution optimization,ASPR,Department of Health and Human Services,HHS,AI,"Using AI and models, allow partners (jurisdictions, pharmacies, federal entities) to optimize redistribution of products based on various factors like distance, ordering/admins, equity, etc.",using ai models allow partners jurisdictions pharmacies federal entities optimize redistribution products based various factors like distance equity etc,3,"""Service delivery"""
573,Highly Infectious Patient Movement optimization,ASPR,Department of Health and Human Services,HHS,DECISION-MAKING,"Given a limited number of highly infectious patient transport containers, optimize US location based on various factors like distance, population, etc. Use as a planning tool for decision-making.",given limited number highly infectious patient transport containers optimize us location based various factors like distance population etc use planning tool,13,Service delivery
574,TowerScout:Automated cooling tower detection from aerial imagery for Legionnaires' Disease outbreak investigation,CDC,Department of Health and Human Services,HHS,"CLASSIFICATION, OBJECT DETECTION","TowerScout scans aerial imagery and uses object detection and image classification models to detect cooling towers, which can be sources of community outbreaks of Legionnaires' Disease. ",towerscout scans aerial imagery uses object detection image classification models detect cooling towers sources community outbreaks legionnaires disease,1,Service delivery
575,HaMLET: Harnessing Machine Learning to Eliminate Tuberculosis,CDC,Department of Health and Human Services,HHS,COMPUTER VISION,HaMLET uses computer vision models to detect TB from chest x-rays to improve the quality of overseas health screenings for immigrants and refugees seeking entry to the U.S.,hamlet uses computer vision models detect tb chest improve quality overseas health screenings immigrants refugees seeking entry,13,Service delivery
576,Zero-shot learning to identify menstrual irregularities reported after COVID-19 vaccination,CDC,Department of Health and Human Services,HHS,ZERO-SHOT LEARNING,Zero-shot learning was used to identify and classify reports of menstrual irregularities after receiving COVID-19 vaccination,learning used identify classify reports menstrual irregularities receiving vaccination,15,Service / benefits access
577,Validation Study of Deep Learning Algorithms to Explore the Potential Use of Artificial Intelligence for Public Health Surveillance of Eye Diseases,CDC,Department of Health and Human Services,HHS,DEEP LEARNING,Applying deep learning algorithms for detecting diabetic retinopathy to the NHANES retinal photos. The purpose of this project is to determine whether these algorithms could be used in the future to replace ophthalmologist grading and grade retinal photos collected for surveillance purposes through the National Health and Nutrition Examination Survey (NHANES).,applying deep learning algorithms detecting diabetic retinopathy nhanes retinal photos purpose project determine whether algorithms could used future replace ophthalmologist grading grade retinal photos collected surveillance purposes national health nutrition examination survey nhanes,10,Service delivery
578,Automating extraction of sidewalk networks from street-level images,CDC,Department of Health and Human Services,HHS,COMPUTER VISION,A team of scientists participating in CDC's Data Science Upskilling Program are building a computer vision model to extract information on the presence of sidewalks from street-level images from Mapillary.,team scientists participating cdc data science upskilling program building computer vision model extract information presence sidewalks images mapillary,10,"""Asset management: use of AI to manage both physical and digital assets"""
579,"Identify walking and bicycling trips in location-based data, including global-positioning system data from smartphone applications",CDC,Department of Health and Human Services,HHS,MACHINE LEARNING,"The Division of Nutrition, Physical Activity, and Obesity at the National Center for Chronic Disease Prevention and Health Promotion is developing machine learning techniques to identify walking and bicycling trips in GPS-based data sources. Inputs would include commercially-available location-based data similar to those used to track community mobility during the COVID-19 pandemic. Outputs could include geocoded data tables, GIS layers, and maps.",division nutrition physical activity obesity national center chronic disease prevention health promotion developing machine learning techniques identify walking bicycling trips data sources inputs would include data similar used track community mobility pandemic outputs could include geocoded data tables gis layers maps,1,Asset management: use of AI to manage both physical and digital assets
580,Identify infrastructure supports for physical activity (e.g. sidewalks) in satellite and roadway images,CDC,Department of Health and Human Services,HHS,MACHINE LEARNING,"The Division of Nutrition, Physical Activity, and Obesity at the National Center for Chronic Disease Prevention and Health Promotion is interested in developing and promoting machine learning techniques to identify sidewalks, bicycle lanes, and other infrastructure in images, both satellite and roadway images. The inputs would include image-based data. The outputs could be geocoded data tables, maps, GIS layers, or summary reports. ",division nutrition physical activity obesity national center chronic disease prevention health promotion interested developing promoting machine learning techniques identify sidewalks bicycle lanes infrastructure images satellite roadway images inputs would include data outputs could geocoded data tables maps gis layers summary reports,1,Asset management
581,Identifying state and local policy provisions that promote or inhibit creating healthy built environments,CDC,Department of Health and Human Services,HHS,"MACHINE LEARNING, NATURAL LANGUAGE PROCESSING","The Division of Nutrition, Physical Activity, and Obesity at the National Center for Chronic Disease Prevention and Health Promotion is interested in developing and promoting natural language processing and machine learning techniques to improve the efficiency of policy surveillance. Inputs are the text of state and local policies, including law (e.g., statute, legislation, regulation, court opinion), procedure, administrative action, etc. and outputs are datasets that capture relevant aspects of the policy as quantifiable information. To date (Apr 2023), DNAPO has not performed this work in-house, but is working with a contractor on various experiments comparing machine learning with traditional methods and identifying CDC, academic and other groups doing related work.",division nutrition physical activity obesity national center chronic disease prevention health promotion interested developing promoting natural language processing machine learning techniques improve efficiency policy surveillance inputs text state local policies including law statute legislation regulation court opinion procedure administrative action etc outputs datasets capture relevant aspects policy quantifiable information date apr dnapo performed work working contractor various experiments comparing machine learning traditional methods identifying cdc academic groups related work,1,Policy-making and public engagement
582,Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulemaking,CDC,Department of Health and Human Services,HHS,"NATURAL LANGUAGE PROCESSING, CLUSTERING, TOPIC MODELING",Development of a Natural Language Processing Topic Modeling tool to improve efficiency for the process of clustering public comments to a 'notice of proposed rulemaking' ,development natural language processing topic modeling tool improve efficiency process clustering public comments proposed rulemaking,4,Policy-making and public engagement
583,Semi-Automated Nonresponse Detection for Surveys (SANDS),CDC,Department of Health and Human Services,HHS,"NATURAL LANGUAGE PROCESSING, NLP","NCHS has developed and release an item nonresponse detection model, to identify cases of item nonresponse (e.g., gibberish, uncertain/don't know, refusals, or high-risk) among open-text responses to help improve survey data and question and questionnaire design. The system is a Natural Language Processing (NLP) model pre-trained using Contrastive Learning and fine-tuned on a custom dataset from survey responses. ",nchs developed release item nonresponse detection model identify cases item nonresponse gibberish know refusals among responses help improve survey data question questionnaire design system natural language processing nlp model using contrastive learning custom dataset survey responses,1,Service delivery
584,Sequential Coverage Algorithm (SCA) and partial Expectation-Maximization (EM) estimation in Record Linkage,CDC,Department of Health and Human Services,HHS,"MACHINE LEARNING, ML","CDC's National Center for Health Statistics (NCHS) Data Linkage Program has implemented both supervised and unsupervised machine learning (ML) techniques in their linkage algorithms. The Sequential Coverage Algorithm (SCA), a supervised ML algorithm, is used to develop joining methods (or blocking groups) when working with very large datasets. The unsupervised partial Expectation-Maximization (EM) estimation is used to estimate the proportion of pairs that are matches within each block. Both methods improve linkage accuracy and efficiency.",cdc national center health statistics nchs data linkage program implemented supervised unsupervised machine learning ml techniques linkage algorithms sequential coverage algorithm sca supervised ml algorithm used develop joining methods blocking groups working large datasets unsupervised partial em estimation used estimate proportion pairs matches within block methods improve linkage accuracy efficiency,18,Service delivery
585,Coding cause of death information on death certificates to ICD-10,CDC,Department of Health and Human Services,HHS,,MedCoder ICD-10 cause of death codes to the literal text cause of death description provided by the cause of death certifier on the death certificate.  This includes codes for the underlying and contributing causes of death.,medcoder cause death codes literal text cause death description provided cause death certifier death certificate includes codes underlying contributing causes death,9,"""Accessibility"""
586,Detecting Stimulant and Opioid Misuse and Illicit Use,CDC,Department of Health and Human Services,HHS,,Analyze clinical notes to detect illicit use and miscue of stimulants and opioids,analyze clinical notes detect illicit use miscue stimulants opioids,2,"""Program integrity"""
587,AI/ML Model Release Standards,CDC,Department of Health and Human Services,HHS,"AI, ML","NCHS is creating a set of model release standards for AI/ML projects that should be adhered to throughout the Center, and could serve as a starting point for broader standards across the AI/ML development lifecycle to be created at NCHS and throughout CDC.",nchs creating set model release standards projects adhered throughout center could serve starting point broader standards across development lifecycle created nchs throughout cdc,9,Internal operations
588,PII detection using Private AI,CDC,Department of Health and Human Services,HHS,"AI, NLP","NCHS has been evaluating Private AI's NLP solution designed to identify, redact, and replace PII in text data. This suite of models is intended to be used to safely identify and remove PII from free text data sets across platforms within the CDC network.",nchs evaluating private ai nlp solution designed identify redact replace pii text data suite models intended used safely identify remove pii free text data sets across platforms within cdc network,9,Asset management
589,Transcribing Cognitive Interviews with Whisper,CDC,Department of Health and Human Services,HHS,AI,"Current transcription processes for cognitive interviews are limited. Manual transcription is time-consuming and the current automated solution is low quality. Recently, open-sourced AI models have been released that appear to perform substantially better than previous technologies in automated transcription of video/audio. Of note is the model by OpenAI named Whisper (publication, code, model card) which has been made available for under a fully permissive license. Although Whisper is currently considered state-of-the-art compared to other AI models in standard benchmarks, it has not been tested with cognitive interviews. We hypothesize Whisper will produce production quality transcriptions for NCHS. We plan to do a comparison against both VideoBank and a manual transcription. If the results are encouraging, we plan to transcribe all videos from the CCQDER archive. ",current transcription processes cognitive interviews limited manual transcription current automated solution low quality recently ai models released appear perform substantially better previous technologies automated transcription note model openai named whisper publication code model card made available fully permissive license although whisper currently considered compared ai models standard benchmarks tested cognitive interviews hypothesize whisper produce production quality transcriptions nchs plan comparison videobank manual transcription results encouraging plan transcribe videos ccqder archive,5,Service Delivery
590,Named Entity Recognition for Opioid Use in Free Text Clinical Notes from Electronic Health Records,CDC,Department of Health and Human Services,HHS,"NLP, ENTITY RECOGNITION",A team of scientists participating in CDC's Data Science Upskilling Program are developing an NLP Named Entity Recognition model to detect the assertion or negation of opioid use in electronic medical records from the National Hospital Care Survey,team scientists participating cdc data science upskilling program developing nlp named entity recognition model detect assertion negation opioid use electronic medical records national hospital care survey,2,Service delivery:
591,Nowcasting Suicide Trends,CDC,Department of Health and Human Services,HHS,MACHINE LEARNING,"An internal-facing, interactive dashboard incorporating multiple traditional and non-traditional datasets and a multi-stage machine learning pipeline to 'nowcast' suicide death trends nationally on a week-to-week basis. ",interactive dashboard incorporating multiple traditional datasets machine learning pipeline suicide death trends nationally basis,14,Service delivery:
592,NCIRD SmartFind ChatBots - Public and Internal,CDC,Department of Health and Human Services,HHS,CHATBOTS,"Develop conversational ChatBots (Public Flu, Public COVID-19 Vaccination, Internal Knowledge-Bot) that analyze free text questions entered by the public, healthcare providers, partners, and internal staff, and provide agency-cleared answers which best match the question. Developed in collaboration with Microsoft staff during COVID-19 pandemic using their Cognitive Services, Search,ï¿½QnA Maker, Azure Healthcare Bot, Power Automate, SharePoint, and webapps.",develop conversational chatbots public flu public vaccination internal analyze free text questions entered public healthcare providers partners internal staff provide answers best match question developed collaboration microsoft staff pandemic using cognitive services search maker azure healthcare bot power automate sharepoint webapps,14,Service delivery
593,Amazon Lex and Amazon Polly for the Marketplace Appeals Call Center,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,CHATBOTS,"CMS/OHI: Amazon Lex & Amazon Polly are used in conjunction with the Amazon Connect phone system (cloud based) for the Marketplace Appeals Call Center. Amazon Lex offers self-service capabilities with virtual contact center agents, interactive voice response (IVR), information response automation, and maximizing information by designing chatbots using existing call center transcripts. Amazon Polly turns text into speech, allowing the program to create applications that talk, and build entirely new categories of speech-enabled products.",amazon lex amazon polly used conjunction amazon connect phone system cloud based marketplace appeals call center amazon lex offers capabilities virtual contact center agents interactive voice response ivr information response automation maximizing information designing chatbots using existing call center transcripts amazon polly turns text speech allowing program create applications talk build entirely new categories products,14,Service / benefits access
594,Feedback Analysis Solution (FAS),Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,"MACHINE LEARNING, NATURAL LANGUAGE PROCESSING, ML, NLP","The Feedback Analysis Solution is a system that uses CMS or other publicly available data (such as Regulations.Gov) to review public comments and/or analyze other information from internal and external stakeholders. The FAS uses Natural Language Processing (NLP) tools to aggregate, sort and identify duplicates to create efficiencies in the comment review process. FAS also uses machine learning (ML) tools to identify topics, themes and sentiment outputs for the targeted dataset.  ",feedback analysis solution system uses cms publicly available data review public comments analyze information internal external stakeholders fas uses natural language processing nlp tools aggregate sort identify duplicates create efficiencies comment review process fas also uses machine learning ml tools identify topics themes sentiment outputs targeted dataset,18,Policy-making and public engagement: use of AI in any stage of developing regulations or gathering input
595,Predictive Intelligence - Incident Assignment for Quality Service Center (QSC).,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,PREDICTIVE INTELLIGENCE,Predictive Intelligence (PI) is used for incident assignment within the Quality Service Center (QSC). The solution runs on incidents created from the ServiceNow Service Portal (https://cmsqualitysupport.servicenowservices.com/sp_ess). The solution analyzes the short description provided by the end user in order to find key words with previously submitted incidents and assigns the ticket to the appropriate assignment group. This solution is re-trained with the incident data in our production instance every 3-6 months based on need.,predictive intelligence pi used incident assignment within quality service center qsc solution runs incidents created servicenow service portal https solution analyzes short description provided end user order find key words previously submitted incidents assigns ticket appropriate assignment group solution incident data production instance every months based need,5,"""Hotlines and service desks"""
596,Fraud Prevention System Alert Summary Report Priority Score,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,,"This model will use Medicare administrative, claims, and fraud alert and investigations data to predict the likelihood of an investigation leading to an administrative action (positive outcome), supporting CMS in prioritizing their use of investigations resources. This analysis is still in development and the final model type has not been determined yet.",model use medicare administrative claims fraud alert investigations data predict likelihood investigation leading administrative action positive outcome supporting cms prioritizing use investigations resources analysis still development final model type determined yet,1,Topic: Program integrity
597,"Center for Program Integrity (CPI) Fraud Prevention System Models (e.g. DMEMBITheftML, HHAProviderML)",Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,RANDOM FOREST,"These models use Medicare administrative and claims  data to identify potential cases of fraud, waste, and abuse for future investigation using random forest techniques. Outputs are used to alert investigators of the potential fraud scheme and associated providers.",models use medicare administrative claims data identify potential cases fraud waste abuse future investigation using random forest techniques outputs used alert investigators potential fraud scheme associated providers,2,Program integrity
598,Priority Score Model - ranks providers within the Fraud Prevention System using logistic regression based on program integrity guidelines.,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,"REGRESSION, LOGISTIC REGRESSION","Inputs - Medicare Claims data, Targeted Probe and Educate (TPE) Data, Jurisdiction information
Output -  ranks providers within the FPS system using logistic regression based on program integrity guidelines.",inputs medicare claims data targeted probe educate tpe data jurisdiction information output ranks providers within fps system using logistic regression based program integrity guidelines,7,Service / benefits access
599,"Priority Score Timeliness - forecast the time needed to work on an alert produced by Fraud Prevention System (Random Forest, Decision Tree, Gradient Boost, Generalized Linear Regression)",Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,"REGRESSION, RANDOM FOREST","Inputs - Medicare Claims data, TPE Data, Jurisdiction information
Output -  forecast the time needed to work on an alert produced by FPS (Random Forest, Decision Tree, Gradient Boost, Generalized Linear Regression)",inputs medicare claims data tpe data jurisdiction information output forecast time needed work alert produced fps random forest decision tree gradient boost generalized linear regression,2,Service delivery
600,CCIIO Enrollment Resolution and Reconciliation System (CERRS),Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,"CLASSIFICATION, AI",CERRS AI for Classification,cerrs ai classification,15,Asset Management
601,Central Data Abstraction Tool-Modernized (Modernized-CDAT)- Intake Process Automation (PA) Tool,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,"AI, ML, NLP","Intake PA uses advanced capabilities (NLP, OCR, AI, ML) to automate, modernize, and reduce manual efforts related to medical record review functions within MA RADV audits",intake pa uses advanced capabilities nlp ocr ai ml automate modernize reduce manual efforts related medical record review functions within radv audits,18,"Here is the identified topic:

Case management"
602,CMS Connect (CCN),Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,AI,CCN AI for Global Search ,ccn ai global search,6,Service delivery
603,CMS Enterprise Portal Services (CMS Enterprise Portal-Chatbot),Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,AI,CMS Enterprise Portal AI for Process Efficiency Improvement| Knowledge Management,cms enterprise portal ai process efficiency knowledge management,4,Topic: Service delivery
604,Federally Facilitated Marketplaces (FFM),Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,"CLASSIFICATION, AI",FFM AI for Anomaly Detection and Correction| Classification| Forecasting and Predicting Time Series,ffm ai anomaly detection forecasting predicting time series,12,Service delivery
605,Marketplace Learning Management System (MLMS),Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,AI,MLMS AI for Language Interpretation and Translation,mlms ai language interpretation translation,9,Accessibility
606,Medicaid And CHIP Financial (MACFin) Anomaly Detection Model for DSH Audit,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,"MACHINE LEARNING, AI","MACFin AI team developed machine learning model to predict anomalies within DSH audit data. The model flags top outliers in the submitted DSH hospitals data in terms of extreme behavior in the data based on amounts and other characteristics of the data to isolate the most outliers in the data. For example, out of all DSH allocations, the model can identify the top 1-5% outliers in the data for further review and auditing. Such model facilitates targeted investigations for gaps and barriers. In addition, the model can support the process by minimizing overpayment and/or underpayment and amounts redistribution",macfin ai team developed machine learning model predict anomalies within dsh audit data model flags top outliers submitted dsh hospitals data terms extreme behavior data based amounts characteristics data isolate outliers data example dsh allocations model identify top outliers data review auditing model facilitates targeted investigations gaps barriers addition model support process minimizing overpayment underpayment amounts redistribution,1,Topic: Program integrity
607,Medicaid And CHIP Financial (MACFin) DSH Payment Forecasting model,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,MACHINE LEARNING,"Forecasting model to predict future DSH payment (next 1 year) based on historical data and trends (ex: last 1-3 years). Multiple models were trained based on time series (i.e., statistical models) and machine learning based model and compared for best performance in terms of average means error on DSH payment amount across all hospitals. DSH data were highly disorganized, the team spent time cleaning and combing the data from over 6 years for all states to conduct full model implementation and meaningful analysis. Predicting future DSH payment facilitates early planning and recommendations around trends, redistributions, etc. Modified models can also be built to predict other DSH-related metrics like payment-to-uncompensated ratio, underpayment, or overpayment",forecasting model predict future dsh payment next year based historical data trends ex last years multiple models trained based time series statistical models machine learning based model compared best performance terms average means error dsh payment amount across hospitals dsh data highly disorganized team spent time cleaning combing data years states conduct full model implementation meaningful analysis predicting future dsh payment facilitates early planning recommendations around trends redistributions etc modified models also built predict metrics like ratio underpayment overpayment,1,Service delivery
608,Performance Metrics Database and Analytics (PMDA),Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,AI,PMDA AI for Anomaly Detection and Correction| Language Interpretation and Translation| Knowledge Management,pmda ai anomaly detection language interpretation knowledge management,12,"""Service Delivery"""
